Time,Yaw,Yaw_Target,Yaw_Error,Servo_Cmd,X_Position,Y_Position,Altitude,Velocity_Z,Distance_To_Target
16.000000,161.612804,213.120448,39.499029,-15.000000,1476.818882,1051.232468,508.500000,-15.000000,1465.864235
16.100000,173.609912,213.148457,51.535653,15.000000,1476.121238,1051.298607,507.000000,-15.000000,1465.284285
16.200000,161.625487,213.165545,39.555633,-15.000000,1475.262060,1051.458376,505.500000,-15.000000,1464.736410
16.300000,173.627266,213.189173,51.563686,15.000000,1474.258636,1051.487798,504.000000,-15.000000,1464.104724
16.400000,161.605012,213.211644,39.584379,-15.000000,1473.521146,1051.766636,502.500000,-15.000000,1463.281210
16.500000,173.603351,213.236604,51.631591,15.000000,1472.773138,1051.868486,501.000000,-15.000000,1462.817054
16.600000,161.599601,213.256006,39.652655,-15.000000,1472.095200,1052.108976,499.500000,-15.000000,1462.247317
16.700000,173.608386,213.278460,51.678858,15.000000,1471.200410,1052.195273,498.000000,-15.000000,1461.812398
16.800000,161.605481,213.300542,39.692156,-15.000000,1470.363498,1052.445014,496.500000,-15.000000,1461.111802
16.900000,173.590744,213.326756,51.721275,15.000000,1469.430506,1052.622903,495.000000,-15.000000,1460.549577
17.000000,161.582710,213.352707,39.761963,-15.000000,1468.755723,1052.877300,493.500000,-15.000000,1459.867899
17.100000,173.595190,213.375614,51.792904,15.000000,1468.057669,1052.948003,492.000000,-15.000000,1459.444234
17.200000,161.581582,213.393015,39.797825,-15.000000,1467.301395,1053.200389,490.500000,-15.000000,1458.900264
17.300000,173.593823,213.417646,51.836064,15.000000,1466.446693,1053.247005,489.000000,-15.000000,1458.407883
17.400000,161.596366,213.437677,39.843853,-15.000000,1465.732228,1053.486703,487.500000,-15.000000,1457.720243
17.500000,173.586207,213.461020,51.864654,15.000000,1464.919633,1053.575923,486.000000,-15.000000,1457.256235
17.600000,161.571598,213.481571,39.895364,-15.000000,1464.171203,1053.825535,484.500000,-15.000000,1456.627605
17.700000,173.575812,213.506009,51.934411,15.000000,1463.448151,1053.849033,483.000000,-15.000000,1456.141202
17.800000,161.568556,213.522492,39.946680,-15.000000,1462.672006,1054.122933,481.500000,-15.000000,1455.551333
17.900000,173.542614,213.548362,51.979806,15.000000,1461.718091,1054.154576,480.000000,-15.000000,1455.055698
18.000000,161.558800,213.570171,40.027557,-15.000000,1460.896383,1054.418893,478.500000,-15.000000,1454.278279
18.100000,173.560578,213.596759,52.037958,15.000000,1460.178064,1054.536199,477.000000,-15.000000,1453.739937
18.200000,161.585637,213.616282,40.055705,-15.000000,1459.461419,1054.767976,475.500000,-15.000000,1453.206607
18.300000,173.608824,213.639543,52.053906,15.000000,1458.570404,1054.884303,474.000000,-15.000000,1452.738248
18.400000,161.617895,213.662841,40.054017,-15.000000,1457.828772,1055.137055,472.500000,-15.000000,1452.061005
18.500000,173.617954,213.687370,52.069475,15.000000,1456.916480,1055.290767,471.000000,-15.000000,1451.583969
18.600000,161.601189,213.712403,40.094449,-15.000000,1456.228333,1055.517226,469.500000,-15.000000,1450.910269
18.700000,173.583843,213.734932,52.133742,15.000000,1455.480762,1055.601881,468.000000,-15.000000,1450.463647
18.800000,161.570811,213.754120,40.170277,-15.000000,1454.750384,1055.859773,466.500000,-15.000000,1449.889050
18.900000,173.575845,213.778638,52.207827,15.000000,1453.894990,1055.957736,465.000000,-15.000000,1449.425218
19.000000,161.571524,213.800667,40.224821,-15.000000,1453.152133,1056.213907,463.500000,-15.000000,1448.768794
19.100000,173.587952,213.825437,52.253913,15.000000,1452.297490,1056.318282,462.000000,-15.000000,1448.294141
19.200000,161.586186,213.847698,40.259746,-15.000000,1451.653157,1056.552887,460.500000,-15.000000,1447.642368
19.300000,173.595470,213.869620,52.283434,15.000000,1450.788704,1056.666390,459.000000,-15.000000,1447.238014
19.400000,161.613601,213.892434,40.296965,-15.000000,1450.113448,1056.937755,457.500000,-15.000000,1446.583622
